description,name,status,resource,sponsor,startdate,enddate,githuburl,svnurl,languages,main_language,cloc_language,comments,resolution/_tlp,mentors/mentor/0/_username,mentors/mentor/0/__text,mentors/mentor/1/_username,mentors/mentor/1/__text,mentors/mentor/2/_username,mentors/mentor/2/__text,reporting/_group,champion/_availid,champion/__text,mentors/mentor/3/_username,mentors/mentor/3/__text,resolution/_link,resolution/_url,resolution/__text,_resourceAliases,resolution,mentors/mentor/4/_username,mentors/mentor/4/__text,mentors/mentor/5/_username,mentors/mentor/5/__text,mentors/mentor/6/_username,mentors/mentor/6/__text,mentors/mentor/7/_username,mentors/mentor/7/__text,mentors/mentor/8/_username,mentors/mentor/8/__text,mentors/mentor/9/_username,mentors/mentor/9/__text,reporting/__text,graduating,changes/change/_resource,changes/change/_enddate,changes/change/__text,__text,reporting/_monthly,_longname
Gora is an ORM framework for column stores such as Apache HBase and Apache Cassandra with a specific focus on Hadoop.,Gora,graduated,gora,Incubator,2010-09-26,2012-01-15,https://github.com/apache/Gora,,"{""Java"": 2842184, ""Shell"": 13153, ""Groovy"": 5192, ""HTML"": 3059, ""PigLatin"": 1035}",Java,Java,,true,mattmann,Chris Mattmann,ab,Andrzej Bialecki,tomwhite,Tom White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gossip is an implementation of the Gossip Protocol.,Gossip,retired,gossip,Incubator,2016-04-28,2018-08-21,https://github.com/apache/incubator-retired-Gossip,,"{""Java"": 442500}",Java,Java,,,ptgoetz,P. Taylor Goetz,elserj,Josh Elser,drew,Drew Farris,,ptgoetz,P. Taylor Goetz,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,
Portal oriented Content Management System (Formerly known as JCMS),Graffito,retired,graffito,Portals,2004-09-20,2007-07-11,,https://svn.apache.org/repos/asf/incubator/graffito,,,,,,raphael,Raphael Luta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffin is a open source Data Quality solution for distributed data systems at any scale in both streaming or batch data context,Griffin,graduated,griffin,Incubator,2016-12-05,2018-11-21,https://github.com/apache/Griffin,,"{""Java"": 559579, ""Scala"": 493535, ""TypeScript"": 228383, ""HTML"": 191474, ""CSS"": 82240, ""Python"": 17976, ""JavaScript"": 10014, ""Shell"": 8593}",Java,Java,,true,kaspersor,Kasper Sørensen,lresende,Luciano Resende,hsaputra,Henry Saputra,,hsaputra,Henry Saputra,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guacamole is an enterprise-grade, protocol-agnostic, remote desktop gateway. Combined with cloud hosting, Guacamole provides an excellent alternative to traditional desktops. Guacamole aims to make cloud-hosted desktop access preferable to traditional, local access.",Guacamole,graduated,guacamole,Incubator,2016-02-10,2017-11-15,https://github.com/apache/incubator-Guacamole,,{},,,,true,jbonofre,Jean-Baptiste Onofré,humbedooh,Daniel Gruno,jim,Jim Jagielski,,jbonofre,Jean-Baptiste Onofré,gtrasuk,Greg Trasuk,,,,,,,,,,,,,,,,,,,,,,,,,
"Geode is a data management platform that provides real-time, consistent access to data-intensive applications throughout widely distributed cloud architectures.",Geode,graduated,geode,Incubator,2015-04-27,2016-11-16,https://github.com/apache/Geode,,"{""Java"": 33845824, ""HTML"": 3937488, ""JavaScript"": 1781750, ""Shell"": 260772, ""CSS"": 104031, ""Go"": 40709, ""Groovy"": 39650, ""Python"": 29764, ""Dockerfile"": 18719, ""SCSS"": 2677, ""Ruby"": 1801}",Java,Java,,true,cos,Konstantin Boudnik,chipchilders,Chip Childers,jerenkrantz,Justin Erenkrantz,,rvs,Roman Shaposhnik,jani,Jan Iversen,,,,,,mattmann,Chris Mattmann,wrowe,William A. Rowe Jr.,rvs,Roman Shaposhnik,,,,,,,,,,,,,,
"Gobblin is a distributed data integration framework that simplifies common aspects of big data integration such as data ingestion, replication, organization and lifecycle management for both streaming and batch data ecosystems.",Gobblin,graduated,gobblin,Incubator,2017-02-23,2021-01-20,https://github.com/apache/Gobblin,,"{""Java"": 16089448, ""Shell"": 110303, ""Python"": 51284, ""JavaScript"": 42618, ""CSS"": 14641, ""HTML"": 13792, ""XSLT"": 7116, ""Groovy"": 2273, ""Dockerfile"": 1594, ""Roff"": 202}",Java,Java,,true,jbonofre,Jean-Baptiste Onofré,olamy,Olivier Lamy,omalley,Owen O'Malley,,olamy,Olivier Lamy,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groovy is an object-oriented programming language for the Java platform. It is a language with features similar to those of Python, Ruby, Java, Perl, and Smalltalk.",Groovy,graduated,groovy,Incubator,2015-03-17,2015-11-18,https://github.com/apache/Groovy,,"{""Java"": 13061662, ""Groovy"": 10295760, ""HTML"": 82850, ""CSS"": 79976, ""Shell"": 58117, ""ANTLR"": 57883, ""Batchfile"": 23453, ""Smarty"": 7825, ""JavaScript"": 1191}",Java,Groovy,,true,abayer,Andrew Bayer,cos,Konstantin Boudnik,bdelacretaz,Bertrand Delacretaz,,rvs,Roman Shaposhnik,jim,Jim Jagielski,,,,,,elecharny,Emmanuel Lecharny,rvs,Roman Shaposhnik,,,,,,,,,,,,,,,,
"Hama is a distributed computing framework based on BSP (Bulk Synchronous Parallel) computing techniques for massive scientific computations, e.g., matrix, graph and network algorithms.",Hama,graduated,hama,Incubator,2008-05-20,2012-05-16,https://github.com/apache/Hama,,"{""Java"": 2287468, ""C++"": 115924, ""HTML"": 27290, ""Shell"": 23798, ""Python"": 18737, ""CMake"": 7951, ""CSS"": 7084, ""Dockerfile"": 1754}",Java,Java,,true,ianh,Ian Holsman,jeastman,Jeff Eastman,tommaso,Tommaso Teofili,,,,stevel,Steve Loughran,,,,,,,,,,,,,,,,,,,,,,,,,
Compatible implementation of J2SE,Harmony,graduated,harmony,Incubator,2005-05-18,2006-10-29,https://github.com/apache/Harmony,,"{""Java"": 72284206, ""C++"": 14669009, ""C"": 11285422, ""HTML"": 432973, ""Makefile"": 175157, ""GAP"": 115047, ""Assembly"": 75478, ""Jasmin"": 63115, ""Objective-J"": 39408, ""CSS"": 35155, ""Shell"": 21712, ""Objective-C"": 11736, ""Perl"": 123}",Java,Java,,true,geirm,Geir Magnusson Jr,noel,Noel Bergman,ben,Ben Laurie,,,,stefano,Stefano Mazzocchi,,,,,,rubys,Sam Ruby,leosimons,Leo Simons,dims,Davanum Srinivas,,,,,,,,,,,,,,
HAWQ is an advanced enterprise SQL on Hadoop analytic engine built around a robust and high-performance massively-parallel processing (MPP) SQL framework evolved from Pivotal Greenplum Database.,HAWQ,graduated,hawq,Incubator,2015-09-04,2018-08-15,https://github.com/apache/HAWQ,,"{""C"": 34134445, ""C++"": 7726421, ""Python"": 4762870, ""Java"": 2679070, ""PLpgSQL"": 1142180, ""Perl"": 941529, ""Makefile"": 498045, ""Yacc"": 442364, ""Shell"": 437782, ""Smarty"": 244244, ""CMake"": 224299, ""HTML"": 216730, ""Lex"": 196336, ""M4"": 82961, ""Thrift"": 71012, ""Roff"": 55234, ""Batchfile"": 16630, ""Fortran"": 14777, ""Dockerfile"": 11800, ""CSS"": 8990, ""XS"": 8309, ""Assembly"": 5196, ""sed"": 1290, ""DTrace"": 1154, ""GDB"": 576, ""Csound Score"": 179}",C,C,,true,gates,Alan Gates,jerenkrantz,Justin Erenkrantz,thejas,Thejas Nair,,rvs,Roman Shaposhnik,rvs,Roman Shaposhnik,,,,,,,,,,,,,,,,,,,,,,,,,
"HORN is a neuron-centric programming APIs and execution framework for large-scale deep learning, built on top of Apache Hama.",HORN,retired,horn,Incubator,2015-09-04,2017-07-13,https://github.com/apache/incubator-retired-HORN,,"{""Java"": 205688, ""Shell"": 6719}",Java,Java,,,lresende,Luciano Resende,edwardyoon,Edward J. Yoon,,,,edwardyoon,Edward J. Yoon,,,,,,,Retired,,,,,,,,,,,,,,,,,,,,
HCatalog is a table and storage management service for data created using Apache Hadoop.,HCatalog,graduated,hcatalog,Incubator,2011-03-14,2013-02-13,https://github.com/apache/HCatalog,,"{""Java"": 488430, ""Shell"": 15792, ""HTML"": 7002}",Java,Java,,,gates,Alan Gates,akarasulu,Alex Karasulu,omalley,Owen O'Malley,,,,,,Hive,http://hive.apache.org,HCatalog became part of the Hive project,,,,,,,,,,,,,,,,,,,,,,
Eclipse based tools for developing applications on the Hadoop platform,Hadoop Development Tools (HDT),retired,hdt,Incubator,2012-11-09,2014-12-02,,,,,,,,smarru,Suresh Marru,mattmann,Chris Mattmann,rvs,Roman Shaposhnik,,,,,,,,,,Retired at request of PPMC as the project failed to grow community.,,,,,,,,,,,,,,,,,,,,
"Apache Helix is a generic cluster management framework used to build distributed systems and provides automatic partition management, fault tolerance and elasticity.",Helix,graduated,helix,Incubator,2012-10-14,2013-12-18,https://github.com/apache/Helix,,"{""Java"": 9972763, ""Python"": 184926, ""TypeScript"": 160157, ""Shell"": 159173, ""HTML"": 73954, ""SCSS"": 8830, ""JavaScript"": 2052, ""Pascal"": 1940, ""NASL"": 1275, ""PHP"": 1247}",Java,Java,,true,phunt,Patrick Hunt,olamy,Olivier Lamy,mahadev,Mahadev Konar,,phunt,Patrick Hunt,omalley,Owen O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,
Identity for the rest of us.,Heraldry,retired,heraldry,Incubator,2005-07-14,2007-06-09,,https://svn.apache.org/repos/asf/incubator/heraldry,,,,,,ben,Ben Laurie,pquerna,Paul Querna,twl,Ted Leung,,,,farra,J. Aaron Farr,OpenID.net,http://openid.net/,Project retired. Some activity moved to OpenID.net,,,wrowe,William Rowe,,,,,,,,,,,,,,,,,,
A robust implementation of the OASIS WS-Notification (WSN) family of specifications,Hermes,graduated,hermes,Web Services,2004-11-08,2005-06-03,,,,,,,,dims,Davanum Srinivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A real-time, distributed, fault-tolerant stream processing engine.",Heron,current,heron,Incubator,2017-06-23,,https://github.com/apache/incubator-Heron,,"{""Java"": 5403683, ""C++"": 1743631, ""Python"": 1257627, ""JavaScript"": 1179493, ""Starlark"": 268171, ""Shell"": 235874, ""Scala"": 138900, ""CSS"": 68730, ""HTML"": 38974, ""M4"": 18741, ""C"": 15251, ""Perl"": 9298, ""Dockerfile"": 946, ""Mustache"": 528, ""Makefile"": 298}",Java,Java,,,jfarrell,Jake Farrell,julien,Julien Le Dem,ptgoetz,P. Taylor Goetz,2,julien,Julien Le Dem,wave,Dave Fisher,,,,,,wenming,Ming Wen,djkevincr,Kevin Ratnasekera,,,,,,,,,,,,,,,,
HISE,HISE,retired,hise,ODE,2009-11-05,2012-02-11,,https://svn.apache.org/repos/asf/incubator/hise,,,,,,gdaniels,Glen Daniels,mriou,Matthieu Riou,pzf,Paul Fremantle,,,,,,,,,,Retired due to inactivity.,,,,,,,,,,,,,,,,,,,,
Hivemall is a library for machine learning implemented as Hive UDFs/UDAFs/UDTFs.,Hivemall,current,hivemall,Incubator,2016-09-13,,https://github.com/apache/incubator-Hivemall,,"{""Java"": 4188000, ""Shell"": 27707, ""Python"": 19904, ""Awk"": 4254, ""Dockerfile"": 3353, ""JavaScript"": 1132}",Java,Java,,,daijy,Daniel Dai,koji,Koji Sekiguchi,,,3,rvs,Roman Shaposhnik,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hop is short for the Hop Orchestration Platform. Written completely in Java it aims to provide a wide range of data orchestration tools, including a visual development environment, servers, metadata analysis, auditing services and so on. As a platform, Hop also wants to be a reusable library so that it can be easily reused by other software.",Hop,current,hop,Incubator,2020-09-24,,https://github.com/apache/Hop,,"{""Java"": 30702939, ""CSS"": 113548, ""Shell"": 43948, ""Batchfile"": 27825, ""JavaScript"": 11949, ""Dockerfile"": 5189, ""HTML"": 4438, ""Vim Snippet"": 1898}",Java,Java,,,magicaltrout,Tom Barber,jhyde,Julian Hyde,mxm,Maximilian Michels,3,mxm,Maximilian Michels,fpapon,Francois Papon,,,,,,djkevincr,Kevin Ratnasekera,,,,,,,,,,,,,,,,,,
HTrace is a tracing framework intended for use with distributed systems written in java.,HTrace,retired,htrace,Incubator,2014-11-11,2018-04-11,https://github.com/apache/incubator-retired-HTrace,,"{""Java"": 463193, ""C"": 380589, ""JavaScript"": 307076, ""Go"": 253960, ""HTML"": 17913, ""C++"": 13670, ""Shell"": 13114, ""CMake"": 8331, ""Thrift"": 3207, ""CSS"": 3184, ""Python"": 2235}",Java,Java,,,jfarrell,Jake Farrell,todd,Todd Lipcon,lewismc,Lewis John Mcgibbney,,rvs,Roman Shaposhnik,billie,Billie Rinaldi,,,,,HTrace made several releases however energy gradually evaporated and a community retirement VOTE was held with the RESULT that HTrace be retired.,stack,Michael Stack,,,,,,,,,,,,,,,,,,
CLI integration project for httpd server,httpd-CLI,graduated,httpd-cli,HTTP Server,2004-07-15,2004-12-16,,,,,,,,wrowe,Will Rowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudi provides atomic upserts and incremental data streams on Big Data,Hudi,graduated,hudi,incubator,2019-01-17,2020-05-20,https://github.com/apache/Hudi,,"{""Java"": 8425641, ""Scala"": 669030, ""Shell"": 104771, ""ANTLR"": 38027, ""Dockerfile"": 18199, ""Mustache"": 3826, ""JavaScript"": 2928, ""Python"": 1296}",Java,Java,,true,thw,Thomas Weise,lresende,Luciano Resende,kishoreg,Kishore Gopalakrishnan,,julien,Julien Le Dem,smarthi,Suneel Marthi,,,,,,,,,,,,,,,,,,,,,,,,,
The iBATIS Data Mapper framework makes it easier to use a database with Java or .NET applications. iBATIS couples objects with stored procedures or SQL statements using a XML descriptor.,iBATIS,graduated,ibatis,Incubator,2004-08-16,2005-04-27,,https://svn.apache.org/repos/asf/ibatis,,,,,true,husted,Ted Husted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iceberg is a table format for large, slow-moving tabular data.",Iceberg,graduated,iceberg,Incubator,2018-11-16,2020-05-20,https://github.com/apache/Iceberg,,"{""Java"": 8907570, ""Python"": 739464, ""Scala"": 164146, ""ANTLR"": 7500, ""Shell"": 5812, ""CSS"": 1731}",Java,HTML,,true,blue,Ryan Blue,julien,Julien Le Dem,omalley,Owen O'Malley,,omalley,Owen O'Malley,jamestaylor,James Taylor,,,,,,cws,Carl Steinbach,,,,,,,,,,,,,,,,,,
"A unified In-Memory Data Fabric providing high-performance, distributed in-memory data management software layer between various data sources and user applications.",Ignite,graduated,ignite,Incubator,2014-10-01,2015-09-18,https://github.com/apache/Ignite,,"{""Java"": 43635061, ""C#"": 7520982, ""C++"": 4074311, ""Scala"": 1385840, ""Shell"": 614367, ""Makefile"": 63439, ""Batchfile"": 56885, ""CMake"": 47939, ""Groovy"": 15081, ""HTML"": 14341, ""PowerShell"": 13092, ""PHP"": 11079, ""C"": 5348, ""Python"": 4826, ""Dockerfile"": 4801, ""JavaScript"": 1085, ""M4"": 623}",Java,Java,,true,brane,Branko Čibej,cos,Konstantin Boudnik,rvs,Roman Shaposhnik,,cos,Konstantin Boudnik,stack,Michael Stack,,,,,,,,,,,,,,,,,,,,,,,,,
Impala is a high-performance C++ and Java SQL query engine for data stored in Apache Hadoop-based clusters.,Impala,graduated,impala,Incubator,2015-12-03,2017-11-15,https://github.com/apache/Impala,,"{""C++"": 18221949, ""Java"": 8686410, ""Python"": 4981206, ""C"": 764226, ""JavaScript"": 479081, ""Thrift"": 378315, ""Shell"": 271553, ""CMake"": 254198, ""CSS"": 144641, ""Lex"": 29355, ""Dockerfile"": 18301, ""PLpgSQL"": 3680}",C++,C++,,true,tomwhite,Tom White,todd,Todd Lipcon,cws,Carl Steinbach,,tomwhite,Tom White,brock,Brock Noland,,,,,,,,,,,,,,,,,,,,,,,,,
Rule-based Management Policy Engine,Imperius,retired,imperius,Incubator,2007-11-10,2011-05-14,,https://svn.apache.org/repos/asf/incubator/imperius,,,,,,stoddard,Bill Stoddard,clr,Craig Russell,fhanik,Filip Hanik,,,,kevan,Kevan Miller,,,,,"Although the Apache Imperius project was successful in building an SPL implementation and had a successful release, there is not sufficient community energy to warrant continued development of Imperius at the Apache Software Foundation.",,,,,,,,,,,,,,,,,,,,
Open source system that enables the orchestration of IoT devices.,iota,retired,iota,Incubator,2016-01-20,2018-02-15,https://github.com/apache/incubator-retired-iota,,"{""Scala"": 291786, ""Shell"": 51732, ""HTML"": 6138}",Scala,Scala,,,humbedooh,Daniel Gruno,sterling,Sterling Hughes,jmclean,Justin Mclean,,hadrian,Hadrian Zbarcea,hadrian,Hadrian Zbarcea,,,,,,,,,,,,,,,,,,,,,,,,,
IoTDB is a data store for managing large amounts of time series data such as timestamped data from IoT sensors in industrial applications.,IoTDB,graduated,iotdb,Incubator,2018-11-18,2020-09-18,https://github.com/apache/IoTDB,,"{""Java"": 11672541, ""Scala"": 138574, ""Vue"": 84761, ""C++"": 83986, ""Python"": 82350, ""Shell"": 66401, ""JavaScript"": 65743, ""Batchfile"": 41022, ""Thrift"": 31579, ""Roff"": 28347, ""ANTLR"": 22964, ""Stylus"": 16844, ""CMake"": 5641, ""HTML"": 3310}",Java,Java,,true,jmclean,Justin Mclean,cdutz,Christofer Dutz,ningjiang,Willem Ning Jiang,,,,kmcgrail,Kevin A. McGrail,,,,,,,,,,,,,,,,,,,,,,,,,
The Isis project will be an extensible standards-based framework to rapidly develop and enterprise level deploy domain-driven (DDD) applications.,Isis,graduated,isis,Incubator,2010-09-07,2012-10-17,https://github.com/apache/Isis,,"{""Java"": 15085401, ""Rich Text Format"": 2150674, ""Kotlin"": 1618162, ""JavaScript"": 1395546, ""HTML"": 277400, ""CSS"": 170035, ""Shell"": 72708, ""Groovy"": 14073, ""Clean"": 8063, ""Handlebars"": 415, ""Gherkin"": 412}",Java,Java,,true,struberg,Mark Struberg,bimargulies,Benson Margulies,sgoeschl,Siegfried Goeschl,,,,jcarman,James W. Carman,,,,,,vmassol,Vincent Massol,mnour,Mohammad Nour El-Din,,,,,,,,,,,,,,,,
"A java based tool for tracking, resolving and managing project dependencies.",Ivy,graduated,ivy,Ant,2006-10-23,2007-10-11,https://github.com/apache/ant-ivy,,"{""Java"": 4420482, ""HTML"": 117134, ""XSLT"": 81955, ""CSS"": 19120, ""JavaScript"": 7341, ""Slim"": 7181, ""Ruby"": 5975}",Java,XML,,,antoine,Antoine Lévy-Lambert,sbailliez,Stephane Bailliez,stevel,Steve Loughran,,"antoine,sylvain","Antoine Lévy-Lambert,Sylvain Wallez",bodewig,Stefan Bodewig,,http://ant.apache.org/ivy/,,,,,,,,,,,,,,,,,,,,,,,
Content Repository API based on JSR 170,Jackrabbit,graduated,jackrabbit,Incubator,2004-08-28,2006-03-15,https://github.com/apache/Jackrabbit,,"{""Java"": 23111147, ""XSLT"": 49729, ""Rich Text Format"": 30864, ""JavaScript"": 7188, ""CSS"": 2538, ""Shell"": 1817}",Java,Java,,true,fielding,Roy T. Fielding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Implementation of JAXB, the specification for Java/XML binding",JaxMe,graduated,jaxme,Web Services,2003-09-15,2004-03-17,,,,,,,,dims,Davanum Srinivas,,,,,,,,,,,http://ws.apache.org/jaxme/,,,,,,,,,,,,,,,,,,,,,,,
A cloud agnostic library that enables developers to access a variety of supported cloud providers using one API,jclouds,graduated,jclouds,Incubator,2013-04-29,2013-10-16,https://github.com/apache/jclouds,,"{""Java"": 25156300, ""Shell"": 123953, ""Batchfile"": 12999, ""HTML"": 6031, ""Dockerfile"": 865, ""Emacs Lisp"": 852}",Java,Java,,true,brianm,Brian McCallister,tomwhite,Tom White,henning,Henning Schmiedehausen,,brianm,Brian McCallister,ke4qqq,David Nalley,,,,,,jbonofre,Jean-Baptiste Onofré,mnour,Mohammad Nour El-Din,olamy,Olivier Lamy,tomaz,Tomaz Muraus,smarru,Suresh Marru,carlos,Carlos Sanchez,,,,,,,,
JDO2,JDO,graduated,jdo,DB,2005-05-18,2005-12-09,https://github.com/apache/db-jdo,,"{""Java"": 7773756, ""HTML"": 15518}",Java,Java,,,geirm,Geir Magnusson Jr.,,,,,,,,,,,http://db.apache.org/jdo/,,,,,,,,,,,,,,,,,,,,,,,
Java framework for building Semantic Web applications.,Jena,graduated,jena,Incubator,2010-11-23,2012-04-18,https://github.com/apache/Jena,,"{""Java"": 32005725, ""JavaScript"": 873015, ""Shell"": 235951, ""Ruby"": 188124, ""HTML"": 115922, ""Lex"": 82672, ""XSLT"": 65126, ""Perl"": 35662, ""CSS"": 26180, ""Batchfile"": 21287, ""Smarty"": 12725, ""Pawn"": 5813, ""AspectJ"": 3446, ""Dockerfile"": 3341, ""Thrift"": 3245, ""Elixir"": 2548, ""Python"": 416, ""Makefile"": 198}",Java,Java,,true,bdelacretaz,Bertrand Delacrétaz,leosimons,Leo Simons,bimargulies,Benson Margulies,,,,rgardler,Ross Gardler,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation of JSR-353 JavaTM API for JSON Processing (Renamed from Fleece),Johnzon,graduated,johnzon,Incubator,2014-06-09,2016-04-20,https://github.com/apache/Johnzon,,"{""Java"": 2233801, ""Shell"": 2158}",Java,JSON,,true,jmclean,Justin Mclean,dkulp,Daniel Kulp,,,,struberg,Mark Struberg,,,,,,fleece,,,,,,,,,,,,,,,,,,,,,
Joshua is a statistical machine translation toolkit,Joshua,graduated,joshua,Incubator,2016-02-13,2018-10-17,https://github.com/apache/Joshua,,"{""Java"": 3423438, ""Perl"": 308757, ""UrWeb"": 204116, ""Python"": 133940, ""Roff"": 101248, ""Shell"": 74483, ""C"": 17262, ""Emacs Lisp"": 17034, ""PostScript"": 16932, ""C++"": 14501, ""Dockerfile"": 3184, ""Smalltalk"": 1892, ""Ruby"": 1649, ""NewLisp"": 1582, ""HTML"": 1353, ""Makefile"": 1303, ""JavaScript"": 835, ""Slash"": 356, ""SystemVerilog"": 184}",Java,Java,,,pramirez,Paul Ramirez,lewismc,Lewis John McGibbney,mattmann,Chris Mattmann,,mattmann,Chris Mattmann,magicaltrout,Tom Barber,,,,,,,,,,,,,,,,,,,,,,,,,
Java-based wiki engine,JSPWiki,graduated,jspwiki,Incubator,2007-09-17,2013-07-19,https://github.com/apache/JSPWiki,,"{""Java"": 4718814, ""JavaScript"": 618380, ""HTML"": 259849, ""Less"": 186449, ""CSS"": 154884, ""Dockerfile"": 3166, ""Shell"": 1914, ""Batchfile"": 1182}",Java,Java,,true,doc,Dave Johnson,clr,Craig Russell,henning,Henning Schmiedehausen,,,,rubys,Sam Ruby,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation of a Universal Description Discovery and Integration (UDDI) registry,jUDDI,graduated,juddi,Web Services,2003-09-15,2004-03-17,https://github.com/apache/jUDDI,,"{""Java"": 9177821, ""C#"": 1911295, ""JavaScript"": 212687, ""HTML"": 41415, ""Batchfile"": 29697, ""Shell"": 24241, ""CSS"": 5931}",Java,Java,,true,dims,Davanum Srinivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSL based JCE provider. Project going into retired status after lack of community interest.,JuiCE,retired,juice,XML,2004-04-05,2007-10-18,,https://svn.apache.org/repos/asf/incubator/juice,,,,,,blautenb,Berin Lautenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apache Juneau is a toolkit for marshalling POJOs to a wide variety of content types using a common framework, and for creating sophisticated self-documenting REST interfaces and microservices using VERY little code.",Juneau,graduated,juneau,Incubator,2016-06-24,2017-10-18,https://github.com/apache/Juneau,,"{""Java"": 18710731, ""HTML"": 1899111, ""CSS"": 142144, ""Shell"": 25683, ""C"": 13686, ""JavaScript"": 6038, ""Dockerfile"": 2754}",Java,Java,,,clr,Craig Russell,jochen,Jochen Wiedmann,johndament,John D. Ament,,johndament,John D. Ament,,,,,,,,,,,,,,,,,,,,,,,,,>,,
An AJAX toolkit,Kabuki,retired,kabuki,Incubator,2006-01-26,2006-06-24,,,,,,Cannot find this one,,andyc,Andy Clark,pzf,Paul Fremantle,rubys,Sam Ruby,,rubys,Sam Ruby,sanjiva,Sanjiva Weerawarana,,,,,,,,,,,,,,,,,,,,,,,,,
Kafka is a distributed publish-subscribe system for processing large amounts of streaming data.,Kafka,graduated,kafka,Incubator,2011-07-04,2012-10-23,https://github.com/apache/Kafka,,"{""Java"": 27916793, ""Scala"": 9027514, ""Python"": 1088529, ""Shell"": 101667, ""Roff"": 39396, ""Batchfile"": 31172, ""Dockerfile"": 7798, ""XSLT"": 7116, ""HTML"": 3739}",Java,Java,,true,adc,Alan Cabrera,cdouglas,Chris Douglas,geirm,Geir Magnusson Jr.,,,,omalley,Owen O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalumet a complete environment manager and deployer including J2EE environments (application servers, applications, etc), softwares, and resources.",Kalumet,retired,kalumet,Incubator,2011-09-20,2015-11-01,https://github.com/apache/Kalumet,,"{""Java"": 2642683, ""HTML"": 5087, ""Shell"": 4624, ""XSLT"": 4533, ""Batchfile"": 2176}",Java,Java,,,jim,Jim Jagielski,hgomez,Henri Gomez,jbonofre,Jean-Baptiste Onofré,,,,olamy,Olivier Lamy,,,,,Podling retired from incubation.,,,,,,,,,,,,,,,,,,,,
"Kato is a project to develop the Specification, Reference Implementation, and TCK for JSR 326: the JVM Post-mortem Diagnostics API.",Kato,retired,kato,Incubator,2008-11-06,2012-08-01,,https://svn.apache.org/repos/asf/incubator/kato,,,,,,antelder,Ant Elder,rdonkin,Robert Burrell Donkin,geirm,Geir Magnusson Jr.,,,,,,,,,,Retired due to inactivity.,,,,,,,,,,,,,,,,,,,,
"Kitty is a lightweight, production focused, Java-based application server performance diagnostic and management utility.",Kitty,retired,kitty,Incubator,2010-10-03,2012-10-19,,https://svn.apache.org/repos/asf/incubator/kitty,,,,,,jim,Jim Jagielski,kevan,Kevan Miller,,,,,,,,,,,,Retired due to inactivity.,,,,,,,,,,,,,,,,,,,,
Knox Gateway is a system that provides a single point of secure access for Apache Hadoop clusters.,Knox,graduated,knox,Incubator,2013-02-22,2014-02-19,https://github.com/apache/Knox,,"{""Java"": 7824753, ""TypeScript"": 299698, ""CSS"": 89776, ""HTML"": 89070, ""Shell"": 86375, ""Groovy"": 66660, ""JavaScript"": 16839, ""Dockerfile"": 1633, ""Ruby"": 1411, ""PigLatin"": 117}",Java,Java,,true,omalley,Owen O'Malley,cdouglas,Chris Douglas,mahadev,Mahadev Konar,,ddas,Devaraj Das,gates,Alan Gates,,,,,,ddas,Devaraj Das,mattmann,Chris Mattmann,tomwhite,Tom White,,,,,,,,,,,,,,
Kudu is a distributed columnar storage engine built for the Apache Hadoop ecosystem.,Kudu,graduated,kudu,Incubator,2015-12-03,2016-07-20,https://github.com/apache/Kudu,,"{""C++"": 18711694, ""Java"": 2452472, ""C"": 626614, ""Python"": 609746, ""Scala"": 352221, ""CMake"": 238929, ""Shell"": 180702, ""Thrift"": 82220, ""Clojure"": 54903, ""Perl"": 36423, ""Mustache"": 34107, ""Dockerfile"": 18601, ""R"": 11739, ""JavaScript"": 11217, ""Smarty"": 2702, ""HTML"": 2069, ""CSS"": 1364, ""Makefile"": 658}",C++,C++,,true,jfarrell,Jake Farrell,brock,Brock Noland,stack,Michael Stack,,todd,Todd Lipcon,jarcec,Jarek Jarcec Cecho,,,,,,mattmann,Chris Mattmann,julien,Julien Le Dem,cws,Carl Steinbach,,,,,,,,,,,,,,
